regionid,regionname,state,city,metro,countyname,value_2016
403141,University Village - Little Italy,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,310307.66
403144,Lake Meadows,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,251354.08
403145,Bronzeville,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,190013.75
403146,Back of the Yards,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,66713.336
403148,Marquette Park,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,144561.58
403151,Wrightwood,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,179678.92
403168,Oriole Park,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,308064.41
403169,West Rogers Park,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,265638
403255,Arcadia Terrace,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,357606.66
403256,Peterson Park,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,381580.09
403258,Edgewater Glen,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,405329.66
403259,Magnolia Glen,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,346268.5
403261,Ravenswood Gardens,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,626353.75
403262,Budlong Woods,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,239465.25
403263,Bowmanville,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,497086.5
403267,Graceland West,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,536343.94
403268,Hollywood Park,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,337653.41
403269,Pulaski Park,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,369952.16
403275,Wildwood,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,464366.25
403276,Norwood Park West,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,330443.84
403277,Old Norwood Park,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,421162.41
403278,Union Ridge,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,293349.84
403279,Big Oaks,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,302615.41
403280,Schorsch Forest View,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,333230.34
403281,Irving Woods,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,262144.66
403282,Belmont Terrace,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,257759.67
403283,Belmont Heights,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,265662.84
403284,Schorsch Village,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,288209.16
403285,Gladstone Park,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,322638.91
403290,Ravenswood Manor,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,608097.5
403292,Roscoe Village,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,696393.19
403293,South East Ravenswood,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,713147.44
403294,Wrigleyville,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,459677.84
403296,Lathrop Homes,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,531037.94
403297,River West,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,407096.09
403298,Goose Island,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,418417.91
