"","h_regionid","wages","num_residents"
"88","403168",46977.4514873086,1209.22117903378
"89","403169",43298.4913175484,13486.8357310061
"90","403255",43568.8069465623,1165.59637310927
"91","403256",44352.298025614,393.449100770518
"92","403257",45824.3704463423,6887.87963128999
"93","403258",45992.3248849675,893.872082906119
"94","403259",45554.6128759549,1291.41791085094
"95","403260",45915.6918393662,640.155586446051
"96","403261",46523.5602565238,643.883797214818
"97","403262",43850.022870889,2391.12066213937
"98","403263",45361.8841876513,1240.93398190158
"99","403264",46832.0125008808,3201.1797910893
"100","403265",45842.9489160605,2295.79866655671
"101","403266",46453.6159766069,1198.23728602405
"102","403267",46445.7036413665,1765.28696899205
"103","403268",43526.540321702,1410.18166076488
"104","403269",43911.2683316268,488.652617232638
"105","403270",44814.4789922658,14.0604754329291
"106","403271",44206.2232360276,1752.44393755004
"107","403272",44814.4789922658,17.4079572486075
"108","403273",44814.4789922658,9.87463839643149
"109","403274",47528.3298159104,52.3713488792705
"110","403275",47528.3298159104,1219.36825333794
"111","403276",47142.3641141676,1713.05445203929
"112","403277",46783.3004970214,1196.1275085594
"113","403278",46053.793813285,1343.00205391766
"114","403279",46223.299450824,1340.20032926363
"115","403280",46665.1159793539,61.0455968311116
"116","403281",45748.3921619539,1146.2873555574
"117","403282",45359.1767154069,634.65771672873
"118","403283",44433.0640912848,3091.75037606868
"119","403284",44607.5335761864,1668.82203859415
"120","403285",44794.1101871492,342.689673610415
"121","403286",43810.8070990581,1753.82432046861
"122","403287",43237.9153409285,1869.87003352871
"123","403288",45051.954299186,3808.71791930586
"124","403289",44980.4373893774,309.185857143341
"125","403290",45489.3797551121,1104.04145242775
"126","403292",46754.415097865,4134.44751451058
"127","403293",46403.3617516124,899.486244807138
"128","403294",47341.7584609112,1692.01300101085
"129","403295",47871.9639073854,13487.175346348
"130","403296",46864.0237217373,1138.63752708132
"131","403297",48470.9212614612,893.22913446265
"132","403298",48363.0507751674,2322.16897211891
"133","403299",49062.021006824,6574.59695610505
"134","403300",49741.7604980203,5955.71021946812
"135","403301",48515.3771582281,4637.3328181065
"136","403302",48291.3055876559,1059.952223428
"137","403303",48837.6350329999,4196.39466855227
"138","403304",48732.3057472797,2177.49270173587
"139","403305",48938.3499194575,1593.70251561795
"140","403306",48010.7230822293,2834.47455040406
"141","403307",48494.1243970681,3967.74920141775
"142","403308",48142.4648711535,4611.1609437054
"143","403309",47868.3664436505,1167.14600789772
"144","403310",47709.5036413188,3262.83671928422
"145","403311",47915.5330574952,3180.05501043962
"146","403312",46263.1814878176,2363.16501662064
"147","403313",49363.6779721576,1761.12110134198
"148","403314",45982.3968162977,3047.1934013659
"149","403315",42484.2460399471,983.004499761024
"150","403316",43553.6555084815,380.457913667904
"151","403317",43462.1238383292,3163.45990152581
"152","403318",42600.6500579737,2028.61354897034
"153","403319",44398.7096978897,551.543515966705
"154","403320",49597.5842952074,584.100354306598
"155","403321",46108.719717093,1448.5513544896
"156","403322",49779.9496975452,3682.98801537994
"157","403323",44114.2230249484,4761.91652065145
"158","403324",41794.8195619285,612.687009501267
"159","403325",44890.7359923504,3481.80816627698
"160","403326",44146.308109798,136.05416024979
"161","403327",44262.2465826658,992.980918954697
"162","403328",46084.1789300364,818.342744545157
"163","403329",44778.8324495274,103.843051584103
"164","403330",44678.3261747735,3638.60475283263
"165","403331",45167.9025623731,571.906680503356
"166","403332",42373.2503251556,128.628118466341
"167","403333",43573.6189192142,835.906963051381
"168","403334",44648.3611018326,375.490804957297
"169","403335",41413.7211197874,232.575219087146
"170","403336",44290.6550960427,344.651642968043
"171","403337",44290.6550960427,168.949301518185
"172","403338",44176.1326291407,653.333213010108
"173","403339",43745.3179102498,65.3652013361943
"174","403340",45052.2099049972,865.616203308551
